"num_film","titre_film","anSortie_film","genre_film","num_real","nom_affiche","synopsis",
1,"The Last Samurai",2003,"Histoire",1,"1.jpg","The Last Samurai is a movie set in Japan during the 1870s12. It tells the story of Captain Nathan Algren (Tom Cruise), a respected American military officer hired by the Emperor of Japan to train the country's first Army in the art of modern warfare12. ",
2,"Woman on the beach",2007,"Comedie dramatique",9,"2.jpg","A filmmaker, trying to complete a script, stumbles into relationships with two women during a stay at an off-season seaside resort.",
3,"Le crime est notre affaire",2008,"Comedie policiere",8,"3.jpg","Le vendredi 28 novembre, Babette Boutiti (Annie Cordy), chasseuse de papillons, tante suisse de Prudence Beresford (Catherine Frot) prend le train pour rendre visite à sa nièce et Bélisaire (André Dussollier), le mari de celle-ci. Prudence se plaint à Bélisaire de l'ennui de son existence. La nuit est tombée, seule dans son compartiment, Babette somnole. Elle se réveille alors qu'un train sur la voie contiguë dépasse lentement celui dans lequel elle est.",
4,"Stella",2008,"Comedie dramatique",7,"4.jpg","En 1977, Stella est âgée de onze ans et vit dans un quartier périphérique de Paris encore ouvrier, promis à la rénovation, où ses parents tiennent un petit bistrot. Le hasard de la géographie scolaire réussit à la faire entrer dans un collège parisien de bon niveau où elle se lie avec Gladys, une fille d'intellectuels argentins. Celle-ci devient sa meilleure amie et va l'aider à prendre ses marques dans la vie.",
5,"Le septieme ciel",2008,"Comedie",6,"5.jpg","Le Septième Ciel, un film de Benoît Jacquot | Synopsis : Les amours de Mathilde, cleptomane, et de Nico, son mari chirurgien. Ils s'aiment, se perdent, se retrouvent.",
6,"Comme une toile dans la nuit",2008,"Drame, Comedie dramatique, Romance",6,"6.jpg","Anne and Marc want a child, but Marc discovers he has Hodgkin's disease. The young couple finds out what love truly means with one of them having a brush with death.",
7,"Home",2008,"Film documentaire",4,"7.jpg","An entire household is caught in traffic thanks to the opening of a new super-highway in this satiric comedy drama from Swiss filmmaker Ursula Meier. Marthe (Isabelle Huppert) and her husband (Olivier Gourmet) live in a small home in rural France with their three children.",
8,"Tonnere sous les tropiques",2008,"Comedie, Aventure, Action",3,"8.jpg","Tonnerre sous les tropiques, le livre de John « Feuille de trèfle » Tayback, un vétéran de la guerre du Viêt Nam dont les mains, arrachées par une grenade, ont été remplacées par des crochets, est adapté au cinéma",
9,"L'echange",2008,"Drame",2,"9.jpg","Los Angeles, 1928. Christine Collins (Angelina Jolie), mère célibataire et opératrice téléphonique, laisse à la maison son fils de neuf ans, Walter (Gattlin Griffith) pour aller travailler. Alors que son supérieur lui propose une promotion, Christine manque le tramway qui devait la ramener chez elle. Le soir, quand elle rentre, elle retrouve la maison vide.",
10,"Caos Calmo",2008,"Drame, Romance",11,"10.jpg","Pietro Paladini, directeur d'une chaîne de cinéma, marié et père d'une fillette de 10 ans, voit sa vie heureuse bouleversée par la mort brutale de son épouse Lara. Il entre alors dans un « chaos calme » et se réfugie dans une observation distanciée du monde qui l'entoure",
11,"Les grandes personnes",2007,"Comedie dramatique",10,"11.jpg","Albert emmène sa fille Jeanne pour fêter ses 17 ans, en vacances sur une île suédoise, dans l'archipel de Göteborg. Albert est intéressé par la recherche d'un trésor viking. Mais leur location est déjà occupée à leur arrivée, et rien ne va se dérouler comme prévu.",
12,"La boom",1980,"Comedie, Drame, Romance",13,"12.jpg","Après une longue insistance et des disputes, les parents de Vic consentent à la laisser participer à une boum organisée par Raoul, un copain de lycée. Là, elle fait la connaissance de Mathieu (Alexandre Sterling), un garçon du lycée âgé d'un an de plus qu'elle. Leur histoire d'amour en cachette des parents s'installera petit à petit au fur et à mesure des semaines.",
13,"hello hello",2025,comedie,1,cillian.jpg,"helloo muuuuu suuuuuuuuuu"
14,Dune,2024,Comedie,2,oppenheimer.png,"Dune Dune Dune  Dune Dune Dune Dune Dune Dune Dune Dune Dune Dune Dune Dune Dune Dune Dune Dune Dune Dune Dune"
15,"Bomm Bomm",2025,Comedie,1,cillian.jpg,"fsfsdgsdfg gsdfgfsdgfgsdfg"
16,"Dune FRFRFR",2024,Comedie,"Anna Novion",cillian.jpg,"GHFGHJFJ FGH HGF GHJ FGHF JG"
17,"Dune fdsfjlsd",2012,Comedie,"Mehdi check",jarvis.jpg,"explique les choses mal mais il "
18,"the witcher",2028,"brain root ","Mehdi check",oppenheimer.png,"ghfghfghfjfhhgfgh ghf fhjffghfghf ghfg"
19,"test test",2023,new,"Anna Novion",couleur.jpg,vffsgs
20,karim,1025,neww,"Mehdi check",cillian.jpg,fdsfsdfdsfsd
21,Dunefr,2002,newww,"Mehdi check",couleur.jpg,dfsgsgsgs
22,"test 3",2012,noel,"Anna Novion",MagicBG2.jpg,"fsdfdsfsf fsdfdsfsd"
23,Oppenheimer,2023,Biopic," Christopher Nolan",oppenheimer.png,"En 1942, convaincus que l'Allemagne nazie est en train de développer une arme nucléaire, les États-Unis initient, dans le plus grand secret, le Projet Manhattan destiné à mettre au point la première bombe atomique de l'histoire. Pour piloter ce dispositif, le gouvernement engage J. Robert Oppenheimer, brillant physicien. C'est dans le laboratoire ultra-secret de Los Alamos, au cœur du désert du Nouveau-Mexique, que le scientifique et son équipe mettent au point cette arme révolutionnaire."
24,Oppenheimer,2023,Biopic,"Christopher Nolan",oppenheimer.png,"En 1942, convaincus que l'Allemagne nazie est en train de développer une arme nucléaire, les États-Unis initient, dans le plus grand secret, le Projet Manhattan destiné à mettre au point la première bombe atomique de l'histoire. Pour piloter ce dispositif, le gouvernement engage J. Robert Oppenheimer, brillant physicien. C'est dans le laboratoire ultra-secret de Los Alamos, au cœur du désert du Nouveau-Mexique, que le scientifique et son équipe mettent au point cette arme révolutionnaire."
25,"Oppenheimer 2",2025,Guerre,"Christopher Nolan",file.png,"En 1942, convaincus que l'Allemagne nazie est en train de développer une arme nucléaire, les États-Unis initient, dans le plus grand secret, le Projet Manhattan destiné à mettre au point la première bombe atomique de l'histoire. Pour piloter ce dispositif, le gouvernement engage J. Robert Oppenheimer, brillant physicien. C'est dans le laboratoire ultra-secret de Los Alamos, au cœur du désert du Nouveau-Mexique, que le scientifique et son équipe mettent au point cette arme révolutionnaire."
26,"Dune 2",2024,SF,Villeneuve,movies.png,"Paul Atréides se rallie à Chani et aux Fremen tout en préparant sa revanche contre ceux qui ont détruit sa famille. Alors qu'il doit faire un choix entre l'amour de sa vie et le destin de la galaxie, il devra néanmoins tout faire pour empêcher un terrible futur que lui seul peut prédire."
27,"dune 2",2024,SF," Christopher steven",movies.png,"dune 2 dune 2dune 2dune 2dune 2dune 2dune 2dune 2dune 2dune 2dune 2dune 2dune 2dune 2dune 2dune 2dune 2dune 2dune 2dune 2dune 2dune 2dune 2dune 2dune 2dune 2dune 2dune 2dune 2dune 2dune 2dune 2dune 2dune 2dune 2dune 2dune 2dune 2dune 2dune 2dune 2dune 2dune 2dune 2dune 2dune 2dune 2dune 2dune 2dune 2dune 2dune 2dune 2dune 2dune 2dune 2dune 2dune 2dune 2dune 2dune 2dune 2dune 2dune 2dune 2dune 2dune 2"
28,"Oppenheimer 12",2024,Biopic,"Youcef Boualili",oppenheimer.png,"kfjdlskfjlsdkfj fdjfsldfjlksdjfklsdjlds fjdsjflsdjflksdjflsd jflsdjflsdjfl kfjdlskfjlsdkfj fdjfsldfjlksdjfklsdjlds fjdsjflsdjflksdjflsd jflsdjflsdjfl kfjdlskfjlsdkfj fdjfsldfjlksdjfklsdjlds fjdsjflsdjflksdjflsd jflsdjflsdjfl kfjdlskfjlsdkfj fdjfsldfjlksdjfklsdjlds fjdsjflsdjflksdjflsd jflsdjflsdjfl kfjdlskfjlsdkfj fdjfsldfjlksdjfklsdjlds fjdsjflsdjflksdjflsd jflsdjflsdjfl kfjdlskfjlsdkfj fdjfsldfjlksdjfklsdjlds fjdsjflsdjflksdjflsd jflsdjflsdjfl "
29,Oppenheimer4545,2024,Biopic,"you you ",oppenheimer.png,"dsfkdfkdsfkdfkdsfkdfkdsfkdfkdsfkdfk dsfkdfkdsfkdfkdsfkdfkdsfkdfkdsfkdfkdsfkdfkdsfkdfkdsfkdfkdsfkdfkdsfkdfkdsfkdfkdsfkdfkdsfkdfkdsfkdfkdsfkdfkdsfkdfkdsfkdfkdsfkdfkdsfkdfkdsfkdfkdsfkdfkdsfkdfkdsfkdfkdsfkdfkdsfkdfkdsfkdfkdsfkdfkdsfkdfkdsfkdfkdsfkdfkdsfkdfkdsfkdfkdsfkdfkdsfkdfkdsfkdfkdsfkdfkdsfkdfkdsfkdfkdsfkdfkdsfkdfkdsfkdfkdsfkdfkdsfkdfkdsfkdfk"
30,Oppenheimer,2023,Comedie,"yog dog",oppenheimer.png," njkfnng cnkdslfzejfzjnjkfnng cnkdslfzejfzjnjkfnng cnkdslfzejfzjnjkfnng cnkdslfzejfzjnjkfnng cnkdslfzejfzjnjkfnng cnkdslfzejfzjnjkfnng cnkdslfzejfzjnjkfnng cnkdslfzejfzjnjkfnng cnkdslfzejfzjnjkfnng cnkdslfzejfzjnjkfnng cnkdslfzejfzjnjkfnng cnkdslfzejfzjnjkfnng cnkdslfzejfzjnjkfnng cnkdslfzejfzjnjkfnng cnkdslfzejfzjnjkfnng cnkdslfzejfzj"
31,"hello hello",2023,"brain root ","jkjd jfkdls",oppenheimer.png,vgf
32,Oppenheimer888888,2012,SF,"diididid ddiid",oppenheimer.png,klsfjdlfj
33,pulp,2013,SF,"ne sait pas",oppenheimer.png,"fldskfds kmsdkfmldskfmdsk"
34,Oppenheimer234,2024,SF,"new real",oppenheimer.png,"dsfsd fdsfds fsdf"
